Type,Invoice Date,Invoice No,Due Date,Customer,Global Tax calculation,Product/Service,Product/Service Quantity,Product/Service Unit Price,Product/Service Tax Rate,Product/Service Tax Amount,Product/Service Class,Currency Code,Exchange Rate,Amount,Tax Exclusive Amount,Total Invoice Amount,Status,Balance Due
Invoice,2023-11-07T00:00:00,JTW100018,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - SWBL83/45QAKSC,5.0,147.0,GST,0.0,,,,735.0,735.0,808.5,Closed,
Invoice,2023-11-07T00:00:00,JTW100019,2023-11-14T00:00:00,Kilvington Grammar School,TaxInclusive,ONS1,1.0,100.0,GST,0.0,,,,100.0,100.0,440.0,Closed,
Invoice,2023-11-07T00:00:00,JTW100019,2023-11-14T00:00:00,Kilvington Grammar School,TaxInclusive,LAB1,3.0,100.0,GST,0.0,,,,300.0,300.0,440.0,Closed,
Invoice,2023-11-07T00:00:00,JTW100020,2023-11-14T00:00:00,Alarm Assets Group,TaxInclusive,ONS1,1.0,100.0,GST,0.0,,,,100.0,100.0,292.6,Closed,
Invoice,2023-11-07T00:00:00,JTW100020,2023-11-14T00:00:00,Alarm Assets Group,TaxInclusive,LAB1,1.5,100.0,GST,0.0,,,,150.0,150.0,292.6,Closed,
Invoice,2023-11-07T00:00:00,JTW100020,2023-11-14T00:00:00,Alarm Assets Group,TaxInclusive,CSD-2001,1.0,16.0,GST,0.0,,,,16.0,16.0,292.6,Closed,
Invoice,2023-11-09T00:00:00,JTW100026,2023-11-16T00:00:00,Mentone Grammar,TaxInclusive,ONS1,1.0,100.0,GST,0.0,,,,100.0,100.0,313.5,Closed,
Invoice,2023-11-09T00:00:00,JTW100026,2023-11-16T00:00:00,Mentone Grammar,TaxInclusive,LAB1,1.0,100.0,GST,0.0,,,,100.0,100.0,313.5,Closed,
Invoice,2023-11-09T00:00:00,JTW100026,2023-11-16T00:00:00,Mentone Grammar,TaxInclusive,HF-2012J,1.0,85.0,GST,0.0,,,,85.0,85.0,313.5,Closed,
Invoice,2023-11-09T00:00:00,JTW100029,2023-11-16T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,90.0,GST,0.0,,,,90.0,90.0,187.0,Closed,
Invoice,2023-11-09T00:00:00,JTW100029,2023-11-16T00:00:00,Cardinia Shire Council,TaxInclusive,SLAB01,1.0,80.0,GST,0.0,,,,80.0,80.0,187.0,Closed,
Invoice,2023-11-12T00:00:00,JTW100031,2023-11-19T00:00:00,Minaret College,TaxInclusive,ONS1,3.0,100.0,GST,0.0,,,,300.0,300.0,6974.0,Closed,
Invoice,2023-11-12T00:00:00,JTW100031,2023-11-19T00:00:00,Minaret College,TaxInclusive,SALTO-MAINT-NEO,74.0,80.0,GST,0.0,,,,5920.0,5920.0,6974.0,Closed,
Invoice,2023-11-12T00:00:00,JTW100031,2023-11-19T00:00:00,Minaret College,TaxInclusive,SALTO-MAINT,6.0,20.0,GST,0.0,,,,120.0,120.0,6974.0,Closed,
Invoice,2023-11-13T00:00:00,JTW100011,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,CARD-PFD04KB10JTWLOGO,50.0,101.5,GST,0.0,,,,5075.0,5075.0,5582.5,Closed,
Invoice,2023-11-13T00:00:00,JTW100028,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,90.0,GST,0.0,,,,90.0,90.0,273.9,Closed,
Invoice,2023-11-13T00:00:00,JTW100028,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.0,90.0,GST,0.0,,,,90.0,90.0,273.9,Closed,
Invoice,2023-11-13T00:00:00,JTW100028,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,PDX-DG75,1.0,69.0,GST,0.0,,,,69.0,69.0,273.9,Closed,
Invoice,2023-11-13T00:00:00,JTW100032,2023-11-20T00:00:00,Mater Christi College,TaxInclusive,ONS1,1.0,100.0,GST,0.0,,,,100.0,100.0,1069.2,Closed,
Invoice,2023-11-13T00:00:00,JTW100032,2023-11-20T00:00:00,Mater Christi College,TaxInclusive,LAB1,1.5,100.0,GST,0.0,,,,150.0,150.0,1069.2,Closed,
Invoice,2023-11-13T00:00:00,JTW100032,2023-11-20T00:00:00,Mater Christi College,TaxInclusive,CSD-1200,19.0,38.0,GST,0.0,,,,722.0,722.0,1069.2,Closed,
Invoice,2023-11-13T00:00:00,JTW100033,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,CARDSPACE-OPT-0036,303.0,19.5,GST,0.0,,,,5908.5,5908.5,10968.83,Closed,
Invoice,2023-11-13T00:00:00,JTW100033,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,CARDGATEWAY3AUS,3.0,370.14,GST,0.0,,,,1110.42,1110.42,10968.83,Closed,
Invoice,2023-11-13T00:00:00,JTW100033,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,CARDNODE3,15.0,114.660667,GST,0.0,,,,1719.91,1719.91,10968.83,Closed,
Invoice,2023-11-13T00:00:00,JTW100033,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,INSTALL,1.0,1980.0,GST,0.0,,,,1980.0,1980.0,10968.83,Closed,
Invoice,2023-11-13T00:00:00,JTW100033,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,FITTINGS,1.0,250.0,GST,0.0,,,,250.0,250.0,10968.83,Closed,
Invoice,2023-11-13T00:00:00,JTW100035,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,SALTO-MAINT,1.0,240.0,GST,0.0,,,,240.0,240.0,240.0,Closed,
Invoice,2023-11-13T00:00:00,JTW100036,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,SALTO-MAINT,1.0,144.0,GST,0.0,,,,144.0,144.0,144.0,Closed,
Invoice,2023-11-13T00:00:00,JTW100037,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,SALTO-MAINT,1.0,492.0,GST,0.0,,,,492.0,492.0,492.0,Closed,
Invoice,2023-11-13T00:00:00,JTW100038,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,99.0,GST,0.0,,,,99.0,99.0,198.0,Closed,
Invoice,2023-11-13T00:00:00,JTW100038,2023-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.0,99.0,GST,0.0,,,,99.0,99.0,198.0,Closed,
Invoice,2023-11-13T00:00:00,JTW100040,2023-11-20T00:00:00,Body Corporate Strata Group  ,TaxInclusive,ONS1,1.0,100.0,GST,0.0,,,,100.0,100.0,220.0,Closed,
Invoice,2023-11-13T00:00:00,JTW100040,2023-11-20T00:00:00,Body Corporate Strata Group  ,TaxInclusive,LAB1,1.0,100.0,GST,0.0,,,,100.0,100.0,220.0,Closed,
Invoice,2023-11-16T00:00:00,JTW100041,2023-11-23T00:00:00,StudioHawk,TaxInclusive,VOUCHKSM,1.0,425.0,GST,0.0,,,,425.0,425.0,467.5,Closed,
Invoice,2023-11-16T00:00:00,JTW100042,2023-11-23T00:00:00,Mentone Grammar,TaxInclusive,ONS1,1.0,100.0,GST,0.0,,,,100.0,100.0,989.27,Closed,
Invoice,2023-11-16T00:00:00,JTW100042,2023-11-23T00:00:00,Mentone Grammar,TaxInclusive,UB150ZRIMBB6,1.0,699.34,GST,0.0,,,,699.34,699.34,989.27,Closed,
Invoice,2023-11-16T00:00:00,JTW100042,2023-11-23T00:00:00,Mentone Grammar,TaxInclusive,LAB1,1.0,100.0,GST,0.0,,,,100.0,100.0,989.27,Closed,
Invoice,2023-11-19T00:00:00,JTW100044,,Priback Body Corporate Services VIC Office,,,,,,,,,,0.0,,,,0.0
Invoice,2023-11-19T00:00:00,JTW100046,2023-11-26T00:00:00,Cardinia Shire Council,TaxInclusive,MISC,1.0,341.0,GST,0.0,,,,341.0,341.0,341.0,Closed,
Invoice,2023-11-19T00:00:00,JTW100047,2023-11-26T00:00:00,Excel Strata Managers Pty Ltd,TaxInclusive,ONS1,1.0,110.0,GST,0.0,,,,110.0,110.0,220.0,Closed,
Invoice,2023-11-19T00:00:00,JTW100047,2023-11-26T00:00:00,Excel Strata Managers Pty Ltd,TaxInclusive,LAB1,1.0,110.0,GST,0.0,,,,110.0,110.0,220.0,Closed,
Invoice,2023-11-19T00:00:00,JTW100048,2023-11-26T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,99.0,GST,0.0,,,,99.0,99.0,247.5,Closed,
Invoice,2023-11-19T00:00:00,JTW100048,2023-11-26T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.5,99.0,GST,0.0,,,,148.5,148.5,247.5,Closed,
Invoice,2023-11-21T00:00:00,JTW100050,2023-11-28T00:00:00,Priback Body Corporate Services VIC Office,TaxInclusive,ONS1,1.0,100.0,GST,0.0,,,,100.0,100.0,530.2,Closed,
Invoice,2023-11-21T00:00:00,JTW100050,2023-11-28T00:00:00,Priback Body Corporate Services VIC Office,TaxInclusive,TPLink16 ,1.0,182.0,GST,0.0,,,,182.0,182.0,530.2,Closed,
Invoice,2023-11-21T00:00:00,JTW100050,2023-11-28T00:00:00,Priback Body Corporate Services VIC Office,TaxInclusive,LAB1,2.0,100.0,GST,0.0,,,,200.0,200.0,530.2,Closed,
Invoice,2023-11-23T00:00:00,JTW100051,2023-11-30T00:00:00,Statewide Locksmiths,TaxInclusive,ONS1,1.0,70.0,GST,0.0,,,,70.0,70.0,341.0,Closed,
Invoice,2023-11-23T00:00:00,JTW100051,2023-11-30T00:00:00,Statewide Locksmiths,TaxInclusive,LAB1,3.0,80.0,GST,0.0,,,,240.0,240.0,341.0,Closed,
Invoice,2023-11-23T00:00:00,JTW100052,2023-11-30T00:00:00,Mentone Grammar,TaxInclusive,PFM01KB10,2.0,110.5,GST,0.0,,,,221.0,221.0,243.1,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive,WRDB0M4B,2.0,550.13,GST,0.0,,,,1100.26,1100.26,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive,NEML280M,2.0,222.0,GST,0.0,,,,444.0,444.0,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive,NEMLB3B,2.0,110.0,GST,0.0,,,,220.0,220.0,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive,STIRPGS11,2.0,44.0,GST,0.0,,,,88.0,88.0,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive,LAB1,8.0,100.0,GST,0.0,,,,800.0,800.0,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive,CS9001,1.0,199.0,GST,0.0,,,,199.0,199.0,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive,CSD-1200,1.0,22.0,GST,0.0,,,,22.0,22.0,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive, CSD-WEL2440,2.0,65.0,GST,0.0,,,,130.0,130.0,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100053,2023-11-30T00:00:00,Lyndale Secondary College,TaxInclusive,CU42E0GAUS,1.0,1529.41,GST,0.0,,,,1529.41,1529.41,4985.94,Closed,
Invoice,2023-11-23T00:00:00,JTW100054,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,90.0,GST,0.0,,,,90.0,90.0,1739.76,Closed,
Invoice,2023-11-23T00:00:00,JTW100054,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,SLAB01,8.0,80.0,GST,0.0,,,,640.0,640.0,1739.76,Closed,
Invoice,2023-11-23T00:00:00,JTW100054,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,80000019,4.0,69.0,GST,0.0,,,,276.0,276.0,1739.76,Closed,
Invoice,2023-11-23T00:00:00,JTW100054,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - PD CYLINDER,4.0,106.4,GST,0.0,,,,425.6,425.6,1739.76,Closed,
Invoice,2023-11-23T00:00:00,JTW100054,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,MISC,1.0,150.0,GST,0.0,,,,150.0,150.0,1739.76,Closed,
Invoice,2023-11-23T00:00:00,JTW100055,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,90.0,GST,0.0,,,,90.0,90.0,198.0,Closed,
Invoice,2023-11-23T00:00:00,JTW100055,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.0,90.0,GST,0.0,,,,90.0,90.0,198.0,Closed,
Invoice,2023-11-23T00:00:00,JTW100056,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,90.0,GST,0.0,,,,90.0,90.0,198.0,Closed,
Invoice,2023-11-23T00:00:00,JTW100056,2023-11-30T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.0,90.0,GST,0.0,,,,90.0,90.0,198.0,Closed,
Invoice,2023-11-26T00:00:00,JTW100057,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IK-996005S8ZPSB,1.0,790.0,GST,0.0,,,,790.0,790.0,3080.0,Closed,
Invoice,2023-11-26T00:00:00,JTW100057,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,PDX-DG65,6.0,60.0,GST,0.0,,,,360.0,360.0,3080.0,Closed,
Invoice,2023-11-26T00:00:00,JTW100057,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IR-995400,1.0,405.0,GST,0.0,,,,405.0,405.0,3080.0,Closed,
Invoice,2023-11-26T00:00:00,JTW100057,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IR-996088,1.0,445.0,GST,0.0,,,,445.0,445.0,3080.0,Closed,
Invoice,2023-11-26T00:00:00,JTW100057,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,LAB1,8.0,100.0,GST,0.0,,,,800.0,800.0,3080.0,Closed,
Invoice,2023-11-26T00:00:00,JTW100058,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IK-996005S8ZPSB,1.0,790.0,GST,0.0,,,,790.0,790.0,3061.3,Closed,
Invoice,2023-11-26T00:00:00,JTW100058,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IR-995400,2.0,404.0,GST,0.0,,,,808.0,808.0,3061.3,Closed,
Invoice,2023-11-26T00:00:00,JTW100058,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,GP15,7.0,55.0,GST,0.0,,,,385.0,385.0,3061.3,Closed,
Invoice,2023-11-26T00:00:00,JTW100058,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,INSTALL,1.0,800.0,GST,0.0,,,,800.0,800.0,3061.3,Closed,
Invoice,2023-11-26T00:00:00,JTW100059,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IK-996005S8ZPSB,1.0,790.0,GST,0.0,,,,790.0,790.0,2495.9,Closed,
Invoice,2023-11-26T00:00:00,JTW100059,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IR-995400,1.0,404.0,GST,0.0,,,,404.0,404.0,2495.9,Closed,
Invoice,2023-11-26T00:00:00,JTW100059,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,GP15,5.0,55.0,GST,0.0,,,,275.0,275.0,2495.9,Closed,
Invoice,2023-11-26T00:00:00,JTW100059,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,INSTALL,1.0,800.0,GST,0.0,,,,800.0,800.0,2495.9,Closed,
Invoice,2023-11-26T00:00:00,JTW100060,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IK-996005S8ZPSB,1.0,790.0,GST,0.0,,,,790.0,790.0,2556.4,Closed,
Invoice,2023-11-26T00:00:00,JTW100060,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,IR-995400,1.0,404.0,GST,0.0,,,,404.0,404.0,2556.4,Closed,
Invoice,2023-11-26T00:00:00,JTW100060,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,GP15,6.0,55.0,GST,0.0,,,,330.0,330.0,2556.4,Closed,
Invoice,2023-11-26T00:00:00,JTW100060,2023-12-03T00:00:00,St Margarets Berwick ,TaxInclusive,INSTALL,1.0,800.0,GST,0.0,,,,800.0,800.0,2556.4,Closed,
Invoice,2023-11-26T00:00:00,JTW100061,2023-12-03T00:00:00,Access Hardware,TaxInclusive,ONS1,1.0,100.0,GST,0.0,,,,100.0,100.0,220.0,Closed,
Invoice,2023-11-26T00:00:00,JTW100061,2023-12-03T00:00:00,Access Hardware,TaxInclusive,LAB1,1.0,100.0,GST,0.0,,,,100.0,100.0,220.0,Closed,
Invoice,2023-11-26T00:00:00,JTW100062,2023-12-03T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,99.0,GST,0.0,,,,99.0,99.0,681.5,Closed,
Invoice,2023-11-26T00:00:00,JTW100062,2023-12-03T00:00:00,Cardinia Shire Council,TaxInclusive,DH-PFM350-360,1.0,225.0,GST,0.0,,,,225.0,225.0,681.5,Closed,
Invoice,2023-11-26T00:00:00,JTW100062,2023-12-03T00:00:00,Cardinia Shire Council,TaxInclusive,IP-303020,1.0,247.5,GST,0.0,,,,247.5,247.5,681.5,Closed,
Invoice,2023-11-26T00:00:00,JTW100062,2023-12-03T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,110.0,GST,0.0,,,,110.0,110.0,681.5,Closed,
Invoice,2023-11-27T00:00:00,JTW100065,2023-12-04T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,99.0,GST,0.0,,,,99.0,99.0,169.0,Closed,
Invoice,2023-11-27T00:00:00,JTW100065,2023-12-04T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.0,70.0,GST,0.0,,,,70.0,70.0,169.0,Closed,
Invoice,2023-11-27T00:00:00,JTW100066,2023-12-04T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,99.0,GST,0.0,,,,99.0,99.0,198.0,Closed,
Invoice,2023-11-27T00:00:00,JTW100066,2023-12-04T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.0,99.0,GST,0.0,,,,99.0,99.0,198.0,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,EB750Z00IMB565,7.0,934.62,GST,0.0,,,,6542.34,6542.34,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,PSPACEOPT0033,10.0,166.95,GST,0.0,,,,1669.5,1669.5,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,SG-SBML23,2.0,110.3,GST,0.0,,,,220.6,220.6,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,3572SC,2.0,115.0,GST,0.0,,,,230.0,230.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,COPLEG65IM,7.0,38.35,GST,0.0,,,,268.45,268.45,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,ESCINSTALL ,7.0,60.0,GST,0.0,,,,420.0,420.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,CU42E0AUS,2.0,1529.41,GST,0.0,,,,3058.82,3058.82,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,WRDB0M4B,1.0,550.13,GST,0.0,,,,550.13,550.13,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,CS9001,1.0,199.0,GST,0.0,,,,199.0,199.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,CSD-1200,1.0,22.0,GST,0.0,,,,22.0,22.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,NEPAWNCSHESP,1.0,87.0,GST,0.0,,,,87.0,87.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,MISC,1.0,0.0,GST,0.0,,,,0.0,0.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,GATEWAYW3CAUS,3.0,500.2,GST,0.0,,,,1500.6,1500.6,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,RFNODE3,3.0,155.0,GST,0.0,,,,465.0,465.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,AHNODE,3.0,105.0,GST,0.0,,,,315.0,315.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,AHGATE,3.0,165.0,GST,0.0,,,,495.0,495.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,LEM4500,1.0,199.0,GST,0.0,,,,199.0,199.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,LAMZB3,1.0,125.0,GST,0.0,,,,125.0,125.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,INSTALL,1.0,450.0,GST,0.0,,,,450.0,450.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,PFD04KG10,5.0,135.0,GST,0.0,,,,675.0,675.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,EM450Z00IMB48E5,2.0,955.22,GST,0.0,,,,1910.44,1910.44,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,SP2204446,1.0,110.0,GST,0.0,,,,110.0,110.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,INSTALL,1.0,250.0,GST,0.0,,,,250.0,250.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,NMP3P48860CPB1,1.0,780.95,GST,0.0,,,,780.95,780.95,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,SPAONLINE,1.0,1758.97,GST,0.0,,,,1758.97,1758.97,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,SPACEOP32,1.0,1419.0,GST,0.0,,,,1419.0,1419.0,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,PPD800,1.0,963.77,GST,0.0,,,,963.77,963.77,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100067,2023-12-07T00:00:00,Camberwell South Primary School,TaxInclusive,ECB04B0AUS,1.0,1071.96,GST,0.0,,,,1071.96,1071.96,28333.28,Closed,
Invoice,2023-11-30T00:00:00,JTW100068,2023-12-07T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,90.0,GST,0.0,,,,90.0,90.0,774.95,Closed,
Invoice,2023-11-30T00:00:00,JTW100068,2023-12-07T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.0,90.0,GST,0.0,,,,90.0,90.0,774.95,Closed,
Invoice,2023-11-30T00:00:00,JTW100068,2023-12-07T00:00:00,Cardinia Shire Council,TaxInclusive,CARD- MINI,1.0,524.5,GST,0.0,,,,524.5,524.5,774.95,Closed,
Invoice,2023-11-30T00:00:00,JTW100069,2023-12-07T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,90.0,GST,0.0,,,,90.0,90.0,1136.14,Closed,
