Type,Invoice Date,Invoice No,Due Date,Customer,Global Tax calculation,Product/Service,Product/Service Quantity,Product/Service Unit Price,Product/Service Tax Rate,Product/Service Tax Amount,Product/Service Class,Currency Code,Exchange Rate,Amount,Tax Exclusive Amount,Total Invoice Amount,Status
Invoice,2024-11-12T00:00:00,JTW101175,2024-11-19T00:00:00,McClelland College,TaxInclusive,EB750Z00IMB565,2.0,984.62,GST,0,,,,1969.24,1969.24,2683.16,Closed
Invoice,2024-11-12T00:00:00,JTW101175,2024-11-19T00:00:00,McClelland College,TaxInclusive,DKMS2602SSS,2.0,115.0,GST,0,,,,230.0,230.0,2683.16,Closed
Invoice,2024-11-12T00:00:00,JTW101174,2024-11-19T00:00:00,Mentone Grammar,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,1902.35,Closed
Invoice,2024-11-12T00:00:00,JTW101174,2024-11-19T00:00:00,Mentone Grammar,TaxInclusive,CU42E0AUS,1.0,1529.41,GST,0,,,,1529.41,1529.41,1902.35,Closed
Invoice,2024-11-12T00:00:00,JTW101174,2024-11-19T00:00:00,Mentone Grammar,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,1902.35,Closed
Invoice,2024-11-12T00:00:00,JTW101173,2024-11-19T00:00:00,Minaret College,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,2024-11-19T00:00:00,Minaret College,TaxInclusive,DHI-VTO2202F-P,1.0,330.0,GST,0,,,,330.0,330.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,2024-11-19T00:00:00,Minaret College,TaxInclusive,NEPAWNCSFEG,2.0,55.0,GST,0,,,,110.0,110.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,2024-11-19T00:00:00,Minaret College,TaxInclusive,INSTALL,1.0,2500.0,GST,0,,,,2500.0,2500.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,2024-11-19T00:00:00,Minaret College,TaxInclusive,MISC,1.0,88.0,GST,0,,,,88.0,88.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,2024-11-19T00:00:00,Minaret College,TaxInclusive,FITTINGS,1.0,450.0,GST,0,,,,450.0,450.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,2024-11-19T00:00:00,Minaret College,TaxInclusive,DHLR21108ET120,1.0,150.0,GST,0,,,,150.0,150.0,4100.8,Closed
Invoice,2024-11-11T00:00:00,JTW101171,2024-11-18T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-11T00:00:00,JTW101171,2024-11-18T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-11T00:00:00,JTW101169,2024-11-18T00:00:00,Mater Christi College,TaxInclusive,LAB1,4.0,120.0,GST,0,,,,480.0,480.0,528.0,Closed
Invoice,2024-11-07T00:00:00,JTW101165,2024-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - POLE CAM,4.0,90.0,GST,0,,,,360.0,360.0,396.0,Closed
Invoice,2024-11-07T00:00:00,JTW101164,2024-11-14T00:00:00,Mentone Grammar,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,1661.0,Closed
Invoice,2024-11-07T00:00:00,JTW101164,2024-11-14T00:00:00,Mentone Grammar,TaxInclusive,DS-2CD2355FWD-I-2.8,2.0,230.0,GST,0,,,,460.0,460.0,1661.0,Closed
Invoice,2024-11-07T00:00:00,JTW101164,2024-11-14T00:00:00,Mentone Grammar,TaxInclusive,INSTALL,1.0,650.0,GST,0,,,,650.0,650.0,1661.0,Closed
Invoice,2024-11-07T00:00:00,JTW101164,2024-11-14T00:00:00,Mentone Grammar,TaxInclusive,FITTINGS,1.0,300.0,GST,0,,,,300.0,300.0,1661.0,Closed
Invoice,2024-11-07T00:00:00,JTW101163,2024-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,1091.39,Closed
Invoice,2024-11-07T00:00:00,JTW101163,2024-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,NMA1100N00CSBNR,1.0,792.17,GST,0,,,,792.17,792.17,1091.39,Closed
Invoice,2024-11-07T00:00:00,JTW101163,2024-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,1091.39,Closed
Invoice,2024-11-07T00:00:00,JTW101162,2024-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - RCUT 5202,30.0,29.5,GST,0,,,,885.0,885.0,973.5,Closed
Invoice,2024-11-07T00:00:00,JTW101161,2024-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,SALTO-MAINT,1.0,212.5,GST,0,,,,212.5,212.5,233.75,Closed
Invoice,2024-11-07T00:00:00,JTW101160,2024-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - POLE CAM,4.0,80.0,GST,0,,,,320.0,320.0,704.0,Closed
Invoice,2024-11-07T00:00:00,JTW101160,2024-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - POLE CAM,4.0,80.0,GST,0,,,,320.0,320.0,704.0,Closed
Invoice,2024-11-15T00:00:00,JTW101185,2024-11-22T00:00:00,APM CONSTRUCTION,TaxInclusive,LAB1,1.0,1823.8,GST,0,,,,1823.8,1823.8,1823.8,Closed
Invoice,2024-11-15T00:00:00,JTW101196,2024-11-22T00:00:00,Minaret College,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,284.9,Closed
Invoice,2024-11-15T00:00:00,JTW101196,2024-11-22T00:00:00,Minaret College,TaxInclusive, CSD-WEL2440,1.0,59.0,GST,0,,,,59.0,59.0,284.9,Closed
Invoice,2024-11-15T00:00:00,JTW101196,2024-11-22T00:00:00,Minaret College,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,284.9,Closed
Invoice,2024-11-15T00:00:00,JTW101197,2024-11-22T00:00:00,Mater Christi College,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,1017.78,Closed
Invoice,2024-11-15T00:00:00,JTW101197,2024-11-22T00:00:00,Mater Christi College,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,1017.78,Closed
Invoice,2024-11-15T00:00:00,JTW101197,2024-11-22T00:00:00,Mater Christi College,TaxInclusive,UM150ZRIMBB6,1.0,725.25,GST,0,,,,725.25,725.25,1017.78,Closed
Invoice,2024-11-21T00:00:00,JTW101199,2024-11-28T00:00:00,Mount Martha Yacht Club ,TaxInclusive,PFM01KB10,4.0,115.5,GST,0,,,,462.0,462.0,683.94,Closed
Invoice,2024-11-21T00:00:00,JTW101199,2024-11-28T00:00:00,Mount Martha Yacht Club ,TaxInclusive,WBM01KBM5,4.0,39.94,GST,0,,,,159.76,159.76,683.94,Closed
Invoice,2024-11-22T00:00:00,JTW101201,2024-11-29T00:00:00,SSW ,TaxInclusive,VOUCHKSM,1.0,440.5,GST,0,,,,440.5,440.5,484.55,Closed
Invoice,2024-11-25T00:00:00,JTW101204,2024-12-02T00:00:00,Lyndale Secondary College,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,1177.55,Closed
Invoice,2024-11-25T00:00:00,JTW101204,2024-12-02T00:00:00,Lyndale Secondary College,TaxInclusive,WRDM0M4B,1.0,570.5,GST,0,,,,570.5,570.5,1177.55,Closed
Invoice,2024-11-25T00:00:00,JTW101204,2024-12-02T00:00:00,Lyndale Secondary College,TaxInclusive,LAB1,4.0,100.0,GST,0,,,,400.0,400.0,1177.55,Closed
Invoice,2024-11-25T00:00:00,JTW101205,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,456.5,Closed
Invoice,2024-11-25T00:00:00,JTW101205,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,3572SC,1.0,115.0,GST,0,,,,115.0,115.0,456.5,Closed
Invoice,2024-11-25T00:00:00,JTW101205,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,LAB1,2.0,100.0,GST,0,,,,200.0,200.0,456.5,Closed
Invoice,2024-11-28T00:00:00,JTW101224,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,1011.1,Closed
Invoice,2024-11-28T00:00:00,JTW101224,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,NBA1100N00CSBNR,1.0,898.98,GST,0,,,,719.18,719.18,1011.1,Closed
Invoice,2024-11-28T00:00:00,JTW101224,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,1011.1,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,CLIP255,7.0,98.298095,GST,0,,,,206.43,206.43,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,FSH-FES20M,3.0,314.6,GST,0,,,,283.14,283.14,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,STIRPGS11,3.0,71.5,GST,0,,,,64.35,64.35,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive, PDX-DG75,5.0,74.993333,GST,0,,,,112.49,112.49,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,HK-INT-GEN2-KIT8,1.0,715.0,GST,0,,,,214.5,214.5,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,HIK-KD8003-IME1,1.0,1001.0,GST,0,,,,300.3,300.3,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,HIK-KD-ACW1,1.0,88.0,GST,0,,,,26.4,26.4,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive, 626-141,1.0,352.0,GST,0,,,,105.6,105.6,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,MISC,1.0,148.016667,GST,0,,,,44.41,44.41,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,HIK-7732NI-I4-24,1.0,1853.016667,GST,0,,,,555.91,555.91,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,HIK-2CD2355FWDI2,19.0,203.004386,GST,0,,,,1157.13,1157.13,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,CSD-1013,2.0,22.0,GST,0,,,,13.2,13.2,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,CSD-WEL2210G-ASS,7.0,51.998571,GST,0,,,,109.2,109.2,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,IR-998530LT4G,1.0,242.976667,GST,0,,,,72.89,72.89,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,IR-996797,1.0,93.5,GST,0,,,,28.05,28.05,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,AA-RIK01DY,1.0,847.0,GST,0,,,,254.1,254.1,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,NUCW10,1.0,1320.0,GST,0,,,,396.0,396.0,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,CL1316N,1.0,2799.016667,GST,0,,,,839.71,839.71,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,IK-INC5,1.0,2931.5,GST,0,,,,879.45,879.45,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,INSTALL,1.0,4950.0,GST,0,,,,1485.0,1485.0,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,FITTINGS,1.0,1650.0,GST,0,,,,495.0,495.0,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,DHPFL21064ET96,2.0,184.996667,GST,0,,,,111.0,111.0,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,X2-SIREN-001,3.0,33.0,GST,0,,,,29.7,29.7,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,NETHSCVC,2.0,22.0,GST,0,,,,13.2,13.2,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,NEMBRDL,1.0,104.016667,GST,0,,,,31.21,31.21,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,DHL43F600,1.0,1188.0,GST,0,,,,356.4,356.4,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,PB44,2.0,38.0,GST,0,,,,22.8,22.8,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive, CSD-WEL2440,3.0,71.5,GST,0,,,,64.35,64.35,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,CU4200TAUS,3.0,840.4,GST,0,,,,756.36,756.36,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,CU42E0GAUS,1.0,1681.9,GST,0,,,,504.57,504.57,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,WRDB0M4B,7.0,605.0,GST,0,,,,1270.5,1270.5,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,EB750Z00IMB56,20.0,1028.081667,GST,0,,,,6168.49,6168.49,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,SPABASIC,1.0,1035.1,GST,0,,,,310.53,310.53,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,EC90USB,1.0,1179.2,GST,0,,,,353.76,353.76,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,PPD800,1.0,1059.3,GST,0,,,,317.79,317.79,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,Variation,1.0,4383.92,GST,0,,,,4383.92,4383.92,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,Variation,1.0,228.59,GST,0,,,,228.59,228.59,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,2024-12-05T00:00:00,Newpol Construction,TaxInclusive,DISC,-1.0,557.92,GST,0,,,,-557.92,-557.92,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101226,2024-12-05T00:00:00,New Plumbing Solutions ,TaxInclusive,PFM01KB10,3.0,120.5,GST,0,,,,361.5,361.5,411.4,Closed
Invoice,2024-11-28T00:00:00,JTW101226,2024-12-05T00:00:00,New Plumbing Solutions ,TaxInclusive,POST,1.0,12.5,GST,0,,,,12.5,12.5,411.4,Closed
Invoice,2024-11-28T00:00:00,JTW101227,2024-12-05T00:00:00,Brunswick Ex-Wool Mills,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101227,2024-12-05T00:00:00,Brunswick Ex-Wool Mills,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101235,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - RCUT 5202,1.0,29.5,GST,0,,,,29.5,29.5,32.45,Closed
Invoice,2024-12-01T00:00:00,JTW101243,2024-12-08T00:00:00,MBE POINT COOK,TaxInclusive,P2GSM,1.0,45.1,GST,0,,,,45.1,45.1,45.1,Closed
Invoice,2024-12-01T00:00:00,JTW101244,2024-12-08T00:00:00,New Plumbing Solutions ,TaxInclusive,P2GSMDOM,2.0,43.64,GST,0,,,,87.28,87.28,96.01,Closed
Invoice,2024-12-01T00:00:00,JTW101245,2024-12-08T00:00:00,Ausgroup Alliance,TaxInclusive,P2GSMDOM,1.0,45.0,GST,0,,,,45.0,45.0,49.5,Closed
Invoice,2024-12-01T00:00:00,JTW101246,2024-12-08T00:00:00,DINEAMIC,TaxInclusive,P2GSM,1.0,41.5,GST,0,,,,41.5,41.5,45.65,Closed
Invoice,2024-12-01T00:00:00,JTW101247,2024-12-09T00:00:00,Marcel Harvey,TaxInclusive,P2GSM,1.0,34.2,GST,0,,,,34.2,34.2,37.62,Closed
Invoice,2024-12-01T00:00:00,JTW101248,2024-12-08T00:00:00,Locksmith Services ,TaxInclusive,P2GSMDOM,1.0,50.0,GST,0,,,,50.0,50.0,55.0,Closed
Invoice,2024-12-01T00:00:00,JTW101251,2024-12-24T00:00:00,Texco Contracting Pty Ltd ,TaxInclusive,JTWSKY,3.0,11.0,GST,0,,,,33.0,33.0,33.0,Closed
Invoice,2024-12-01T00:00:00,JTW101252,2024-12-16T00:00:00,Ultra Fine Foods Victoria Office,TaxInclusive,P2GSMDOM,1.0,48.0,GST,0,,,,48.0,48.0,48.0,Closed
Invoice,2024-11-25T00:00:00,JTW101206,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,1338.12,Closed
Invoice,2024-11-25T00:00:00,JTW101206,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,EM750Z00IMB565,1.0,1016.47,GST,0,,,,1016.47,1016.47,1338.12,Closed
Invoice,2024-11-25T00:00:00,JTW101206,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,1338.12,Closed
Invoice,2024-11-25T00:00:00,JTW101207,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,440.0,Closed
Invoice,2024-11-25T00:00:00,JTW101207,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,LAB1,3.0,100.0,GST,0,,,,300.0,300.0,440.0,Closed
Invoice,2024-11-25T00:00:00,JTW101208,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,236.5,Closed
Invoice,2024-11-25T00:00:00,JTW101208,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,LAB1,0.5,100.0,GST,0,,,,50.0,50.0,236.5,Closed
Invoice,2024-11-25T00:00:00,JTW101208,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,MISC,1.0,65.0,GST,0,,,,65.0,65.0,236.5,Closed
Invoice,2024-11-25T00:00:00,JTW101214,2024-12-02T00:00:00,Excel Strata Managers Pty Ltd,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,467.5,Closed
Invoice,2024-11-25T00:00:00,JTW101214,2024-12-02T00:00:00,Excel Strata Managers Pty Ltd,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,467.5,Closed
Invoice,2024-11-25T00:00:00,JTW101214,2024-12-02T00:00:00,Excel Strata Managers Pty Ltd,TaxInclusive,IR-994720MF,1.0,225.0,GST,0,,,,225.0,225.0,467.5,Closed
Invoice,2024-11-25T00:00:00,JTW101215,2024-12-02T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,291.5,Closed
Invoice,2024-11-25T00:00:00,JTW101215,2024-12-02T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,291.5,Closed
Invoice,2024-11-25T00:00:00,JTW101215,2024-12-02T00:00:00,Cardinia Shire Council,TaxInclusive,MINI60MM,1.0,65.0,GST,0,,,,65.0,65.0,291.5,Closed
Invoice,2024-11-27T00:00:00,JTW101216,2024-12-04T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-27T00:00:00,JTW101216,2024-12-04T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101219,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,AFONS,1.0,230.0,GST,0,,,,230.0,230.0,495.0,Closed
Invoice,2024-11-28T00:00:00,JTW101219,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,AFLAB,1.0,120.0,GST,0,,,,120.0,120.0,495.0,Closed
Invoice,2024-11-28T00:00:00,JTW101219,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,495.0,Closed
Invoice,2024-11-28T00:00:00,JTW101222,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,330.0,Closed
Invoice,2024-11-28T00:00:00,JTW101222,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,2.0,100.0,GST,0,,,,200.0,200.0,330.0,Closed
Invoice,2024-11-28T00:00:00,JTW101223,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101223,2024-12-05T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-25T00:00:00,JTW101209,2024-12-02T00:00:00,Mentone Grammar,TaxInclusive,ROS-EX07E0,6.0,122.85,GST,0,,,,737.1,737.1,810.81,Closed
Invoice,2024-11-25T00:00:00,JTW101210,2024-12-02T00:00:00,Kilvington Grammar School,TaxInclusive,CCVD2070050,2.0,333.0,GST,0,,,,666.0,666.0,732.6,Closed
Invoice,2024-11-25T00:00:00,JTW101211,2024-12-02T00:00:00,Statewide Locksmiths,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-25T00:00:00,JTW101211,2024-12-02T00:00:00,Statewide Locksmiths,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-25T00:00:00,JTW101212,2024-12-02T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - SWBL83/45QAKSC,50.0,168.0,GST,0,,,,8400.0,8400.0,9240.0,Closed
Invoice,2024-11-25T00:00:00,JTW101213,2024-12-02T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,1303.5,Closed
