Type,Invoice Date,Invoice No,Due Date,Customer,Source Code,Global Tax calculation,Product/Service,Product/Service Quantity,Product/Service Unit Price,Product/Service Tax Rate,Product/Service Tax Amount,Product/Service Class,Currency Code,Exchange Rate,Amount,Total Invoice Amount,Status
Invoice,2024-11-12T00:00:00,JTW101174,,Mentone Grammar,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1902.35,Closed
Invoice,2024-11-12T00:00:00,JTW101174,,Mentone Grammar,,TaxInclusive,SALTO XS4 2.0 ETHERNET ONLINE ,1.0,1529.41,GST,0,,,,1529.41,1902.35,Closed
Invoice,2024-11-12T00:00:00,JTW101174,,Mentone Grammar,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,1902.35,Closed
Invoice,2024-11-12T00:00:00,JTW101175,,McClelland College,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,2683.16,Closed
Invoice,2024-11-12T00:00:00,JTW101175,,McClelland College,,TaxInclusive,SALTO ESCUTCHEON INSTALL,2.0,70.0,GST,0,,,,140.0,2683.16,Closed
Invoice,2024-11-12T00:00:00,JTW101175,,McClelland College,,TaxInclusive,SALTO XS4 ONE BLE ESCUTCHEON w,2.0,984.62,GST,0,,,,1969.24,2683.16,Closed
Invoice,2024-11-12T00:00:00,JTW101175,,McClelland College,,TaxInclusive,,2.0,115.0,GST,0,,,,230.0,2683.16,Closed
Invoice,2024-11-12T00:00:00,JTW101176,,Minaret College,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,259.6,Closed
Invoice,2024-11-12T00:00:00,JTW101176,,Minaret College,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,259.6,Closed
Invoice,2024-11-12T00:00:00,JTW101176,,Minaret College,,TaxInclusive,12V 7.0Ah Sealed Lead Acid Bat,1.0,36.0,GST,0,,,,36.0,259.6,Closed
Invoice,2024-11-12T00:00:00,JTW101177,,Aquinas College,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,279.4,Closed
Invoice,2024-11-12T00:00:00,JTW101177,,Aquinas College,,TaxInclusive, D/LATCH 530-12 SC 60MM B/SET,1.0,54.0,GST,0,,,,54.0,279.4,Closed
Invoice,2024-11-12T00:00:00,JTW101177,,Aquinas College,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,279.4,Closed
Invoice,2024-11-13T00:00:00,JTW101179,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,847.55,Closed
Invoice,2024-11-13T00:00:00,JTW101179,,Cardinia Shire Council,,TaxInclusive,,1.0,570.5,GST,0,,,,570.5,847.55,Closed
Invoice,2024-11-13T00:00:00,JTW101179,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,847.55,Closed
Invoice,2024-11-13T00:00:00,JTW101180,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-13T00:00:00,JTW101180,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-13T00:00:00,JTW101181,,Catherine McAuley College,,TaxInclusive,SALTO MIFARE 1K FOB BLU FRAME ,2.0,110.5,GST,0,,,,221.0,259.6,Closed
Invoice,2024-11-13T00:00:00,JTW101181,,Catherine McAuley College,,TaxInclusive,POSTAGE,1.0,15.0,GST,0,,,,15.0,259.6,Closed
Invoice,2024-11-15T00:00:00,JTW101183,,Mater Christi College,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,80.0,GST,0,,,,80.0,88.0,Closed
Invoice,2024-11-15T00:00:00,JTW101184,,Facility Management Essentials,,TaxInclusive,SALTO SPACE ADD ON - mSVN (MOB,8.0,9.9,GST,0,,,,79.2,79.2,Closed
Invoice,2024-11-15T00:00:00,JTW101185,,APM CONSTRUCTION,,TaxInclusive,1 HOURS LABOUR,1.0,1823.8,GST,0,,,,1823.8,1823.8,Closed
Invoice,2024-11-15T00:00:00,JTW101196,,Minaret College,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,284.9,Closed
Invoice,2024-11-15T00:00:00,JTW101196,,Minaret College,,TaxInclusive,"Exit button, Heavy Duty Mushro",1.0,59.0,GST,0,,,,59.0,284.9,Closed
Invoice,2024-11-15T00:00:00,JTW101196,,Minaret College,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,284.9,Closed
Invoice,2024-11-15T00:00:00,JTW101197,,Mater Christi College,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1017.78,Closed
Invoice,2024-11-15T00:00:00,JTW101197,,Mater Christi College,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,1017.78,Closed
Invoice,2024-11-15T00:00:00,JTW101197,,Mater Christi College,,TaxInclusive,,1.0,725.25,GST,0,,,,725.25,1017.78,Closed
Invoice,2024-11-21T00:00:00,JTW101199,,Mount Martha Yacht Club ,,TaxInclusive,SALTO MIFARE 1K FOB BLU FRAME ,4.0,115.5,GST,0,,,,462.0,683.94,Closed
Invoice,2024-11-21T00:00:00,JTW101199,,Mount Martha Yacht Club ,,TaxInclusive,SALTO MIFARE BLU WRISTBAND MED,4.0,39.94,GST,0,,,,159.76,683.94,Closed
Invoice,2024-11-22T00:00:00,JTW101201,,SSW ,,TaxInclusive,VOUCHKSM,1.0,440.5,GST,0,,,,440.5,484.55,Closed
Invoice,2024-11-25T00:00:00,JTW101204,,Lyndale Secondary College,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1177.55,Closed
Invoice,2024-11-25T00:00:00,JTW101204,,Lyndale Secondary College,,TaxInclusive,,1.0,570.5,GST,0,,,,570.5,1177.55,Closed
Invoice,2024-11-25T00:00:00,JTW101204,,Lyndale Secondary College,,TaxInclusive,1 HOURS LABOUR,4.0,100.0,GST,0,,,,400.0,1177.55,Closed
Invoice,2024-11-25T00:00:00,JTW101205,,Mentone Grammar,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,456.5,Closed
Invoice,2024-11-25T00:00:00,JTW101205,,Mentone Grammar,,TaxInclusive,LOCKWOOD PRIMARY LOCK 3572 SC,1.0,115.0,GST,0,,,,115.0,456.5,Closed
Invoice,2024-11-25T00:00:00,JTW101205,,Mentone Grammar,,TaxInclusive,1 HOURS LABOUR,2.0,100.0,GST,0,,,,200.0,456.5,Closed
Invoice,2024-11-25T00:00:00,JTW101206,,Mentone Grammar,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1338.12,Closed
Invoice,2024-11-25T00:00:00,JTW101206,,Mentone Grammar,,TaxInclusive,,1.0,1016.47,GST,0,,,,1016.47,1338.12,Closed
Invoice,2024-11-25T00:00:00,JTW101206,,Mentone Grammar,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,1338.12,Closed
Invoice,2024-11-25T00:00:00,JTW101207,,Mentone Grammar,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,440.0,Closed
Invoice,2024-11-25T00:00:00,JTW101207,,Mentone Grammar,,TaxInclusive,1 HOURS LABOUR,3.0,100.0,GST,0,,,,300.0,440.0,Closed
Invoice,2024-11-25T00:00:00,JTW101208,,Mentone Grammar,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,236.5,Closed
Invoice,2024-11-25T00:00:00,JTW101208,,Mentone Grammar,,TaxInclusive,1 HOURS LABOUR,0.5,100.0,GST,0,,,,50.0,236.5,Closed
Invoice,2024-11-25T00:00:00,JTW101208,,Mentone Grammar,,TaxInclusive,DESCRIPTION,1.0,65.0,GST,0,,,,65.0,236.5,Closed
Invoice,2024-11-25T00:00:00,JTW101209,,Mentone Grammar,,TaxInclusive,,6.0,122.85,GST,0,,,,737.1,810.81,Closed
Invoice,2024-11-25T00:00:00,JTW101210,,Kilvington Grammar School,,TaxInclusive,,2.0,333.0,GST,0,,,,666.0,732.6,Closed
Invoice,2024-11-25T00:00:00,JTW101211,,Statewide Locksmiths,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-25T00:00:00,JTW101211,,Statewide Locksmiths,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-25T00:00:00,JTW101212,,Cardinia Shire Council,,TaxInclusive,CARD - SWBL83/45QAKSC PADLOCK ,50.0,168.0,GST,0,,,,8400.0,9240.0,Closed
Invoice,2024-11-25T00:00:00,JTW101213,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1303.5,Closed
Invoice,2024-11-25T00:00:00,JTW101213,,Cardinia Shire Council,,TaxInclusive,,1.0,985.0,GST,0,,,,985.0,1303.5,Closed
Invoice,2024-11-25T00:00:00,JTW101213,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,1303.5,Closed
Invoice,2024-11-25T00:00:00,JTW101214,,Excel Strata Managers Pty Ltd,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,467.5,Closed
Invoice,2024-11-25T00:00:00,JTW101214,,Excel Strata Managers Pty Ltd,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,467.5,Closed
Invoice,2024-11-25T00:00:00,JTW101214,,Excel Strata Managers Pty Ltd,,TaxInclusive,IR SIFER Multi Format Smart Ca,1.0,225.0,GST,0,,,,225.0,467.5,Closed
Invoice,2024-11-25T00:00:00,JTW101215,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,291.5,Closed
Invoice,2024-11-25T00:00:00,JTW101215,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,291.5,Closed
Invoice,2024-11-25T00:00:00,JTW101215,,Cardinia Shire Council,,TaxInclusive, D/LATCH 530-12 SC 60MM B/SET,1.0,65.0,GST,0,,,,65.0,291.5,Closed
Invoice,2024-11-27T00:00:00,JTW101216,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-27T00:00:00,JTW101216,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101219,,Cardinia Shire Council,,TaxInclusive,AFTER HOURS ONSITE  CHARGE,1.0,230.0,GST,0,,,,230.0,495.0,Closed
Invoice,2024-11-28T00:00:00,JTW101219,,Cardinia Shire Council,,TaxInclusive,AFTER HOURS LABOUR,1.0,120.0,GST,0,,,,120.0,495.0,Closed
Invoice,2024-11-28T00:00:00,JTW101219,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,495.0,Closed
Invoice,2024-11-28T00:00:00,JTW101222,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,330.0,Closed
Invoice,2024-11-28T00:00:00,JTW101222,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,2.0,100.0,GST,0,,,,200.0,330.0,Closed
Invoice,2024-11-28T00:00:00,JTW101223,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101223,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101224,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1011.1,Closed
Invoice,2024-11-28T00:00:00,JTW101224,,Cardinia Shire Council,,TaxInclusive,SALTO NEO Australian oval prof,1.0,898.98,GST,0,,,,719.18,1011.1,Closed
Invoice,2024-11-28T00:00:00,JTW101224,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,1011.1,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Weather Protective Box With Cl,7.0,98.298095,GST,0,,,,206.43,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"FES20M Strike, 1490kg, Aus. FP",3.0,314.6,GST,0,,,,283.14,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,STI BREAK GLASS RESETTABLE CAL,3.0,71.5,GST,0,,,,64.35,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Paradox Digigard High-Security,5.0,74.993333,GST,0,,,,112.49,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Hikvision 2nd Gen IP Intercom ,1.0,715.0,GST,0,,,,214.5,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Hikvision 2nd Gen IP Intercom,",1.0,1001.0,GST,0,,,,300.3,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Hikvision 2nd Gen. Intercom, D",1.0,88.0,GST,0,,,,26.4,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Fulleon Askari Panel White 32 ,1.0,352.0,GST,0,,,,105.6,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,DESCRIPTION,1.0,148.016667,GST,0,,,,44.41,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Hikvision 32ch NVR, 24 PoE Por",1.0,1853.016667,GST,0,,,,555.91,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Hikvision 6MP Outdoor Turret C,19.0,203.004386,GST,0,,,,1157.13,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Amber Strobe, 12/24V DC, Water",2.0,22.0,GST,0,,,,13.2,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,*SpOrd* Press for Assistance B,7.0,51.998571,GST,0,,,,109.2,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Multipath T4000 Lite 4G,1.0,242.976667,GST,0,,,,72.89,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Inception to T4000 Security Co,1.0,93.5,GST,0,,,,28.05,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Single Bollard, Double Width B",1.0,847.0,GST,0,,,,254.1,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Intel NUC Core i3 7th gen + 8G,1.0,1320.0,GST,0,,,,396.0,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Aten CL1316N 19"" LCD 16 Port K",1.0,2799.016667,GST,0,,,,839.71,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Inception Controller Kit 5, Me",1.0,2931.5,GST,0,,,,879.45,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,INSTALLATION ,1.0,4950.0,GST,0,,,,1485.0,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,CONNECTORS/CABLE/CONDUIT,1.0,1650.0,GST,0,,,,495.0,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"4-Port, ePoE, PoE+, Hi-PoE Swi",2.0,184.996667,GST,0,,,,111.0,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,X2-SIREN-001,3.0,33.0,GST,0,,,,29.7,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Neptune Top Hat Piezo Screamer,2.0,22.0,GST,0,,,,13.2,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Neptune Monitor Mount Bracket,",1.0,104.016667,GST,0,,,,31.21,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive," DAHUA 43"" 1920x1080, LCD Moni",1.0,1188.0,GST,0,,,,356.4,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,ACSS LATCHING DURESS,2.0,38.0,GST,0,,,,22.8,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,"Exit button, Heavy Duty Mushro",3.0,71.5,GST,0,,,,64.35,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,SALTO XS4 2.0 ETHERNET AUX. CU,3.0,840.4,GST,0,,,,756.36,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,SALTO XS4 2.0 ETHERNET ONLINE ,1.0,1681.9,GST,0,,,,504.57,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,SALTO XS4 2.0 Mullion Reader i,7.0,605.0,GST,0,,,,1270.5,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,SALTO XS4 ONE BLE ESCUTCHEON w,20.0,1028.081667,GST,0,,,,6168.49,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,SALTO ProAccess SPACE SW BASIC,1.0,1035.1,GST,0,,,,310.53,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,SALTO MIFARE USB CARD ENCODER,1.0,1179.2,GST,0,,,,353.76,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,SALTO PPD - USB PORTABLE PROGR,1.0,1059.3,GST,0,,,,317.79,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Variation ,1.0,4383.92,GST,0,,,,4383.92,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,Variation ,1.0,228.59,GST,0,,,,228.59,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101225,,Newpol Construction,,TaxInclusive,DISCOUNT ,-1.0,557.92,GST,0,,,,-557.92,22008.51,Closed
Invoice,2024-11-28T00:00:00,JTW101226,,New Plumbing Solutions ,,TaxInclusive,SALTO MIFARE 1K FOB BLU FRAME ,3.0,120.5,GST,0,,,,361.5,411.4,Closed
Invoice,2024-11-28T00:00:00,JTW101226,,New Plumbing Solutions ,,TaxInclusive,POSTAGE,1.0,12.5,GST,0,,,,12.5,411.4,Closed
Invoice,2024-11-28T00:00:00,JTW101227,,Brunswick Ex-Wool Mills,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101227,,Brunswick Ex-Wool Mills,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-28T00:00:00,JTW101235,,Cardinia Shire Council,,TaxInclusive,CARD - RCUT BI-LOCK,1.0,29.5,GST,0,,,,29.5,32.45,Closed
Invoice,2024-12-01T00:00:00,JTW101243,,MBE POINT COOK,,TaxInclusive,GSM ALARM MONITORING ,1.0,45.1,GST,0,,,,45.1,45.1,Closed
Invoice,2024-12-01T00:00:00,JTW101244,,New Plumbing Solutions ,,TaxInclusive,GSM ALARM MONITORING ,2.0,43.64,GST,0,,,,87.28,96.01,Closed
Invoice,2024-12-01T00:00:00,JTW101245,,Ausgroup Alliance,,TaxInclusive,GSM ALARM MONITORING ,1.0,45.0,GST,0,,,,45.0,49.5,Closed
Invoice,2024-12-01T00:00:00,JTW101246,,DINEAMIC,,TaxInclusive,GSM ALARM MONITORING ,1.0,41.5,GST,0,,,,41.5,45.65,Closed
Invoice,2024-12-01T00:00:00,JTW101247,,Marcel Harvey,,TaxInclusive,GSM ALARM MONITORING ,1.0,34.2,GST,0,,,,34.2,37.62,Closed
Invoice,2024-12-01T00:00:00,JTW101248,,Locksmith Services ,,TaxInclusive,GSM ALARM MONITORING ,1.0,50.0,GST,0,,,,50.0,55.0,Closed
Invoice,2024-12-01T00:00:00,JTW101251,,Texco Contracting Pty Ltd ,,TaxInclusive,SKYCOMMAND NOTIFICATIONS ,3.0,11.0,GST,0,,,,33.0,33.0,Closed
Invoice,2024-12-01T00:00:00,JTW101252,,Ultra Fine Foods Victoria Office,,TaxInclusive,GSM ALARM MONITORING ,1.0,48.0,GST,0,,,,48.0,48.0,Closed
Invoice,2024-12-02T00:00:00,JTW101254,,Texco Contracting Pty Ltd ,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,640.75,Closed
Invoice,2024-12-02T00:00:00,JTW101254,,Texco Contracting Pty Ltd ,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,640.75,Closed
Invoice,2024-12-02T00:00:00,JTW101254,,Texco Contracting Pty Ltd ,,TaxInclusive,,1.0,382.5,GST,0,,,,382.5,640.75,Closed
Invoice,2024-12-02T00:00:00,JTW101255,,Mater Christi College,,TaxInclusive,SALTO ISO MIFARE CARD 1K WHT P,1.0,219.15,GST,0,,,,219.15,254.82,Closed
Invoice,2024-12-02T00:00:00,JTW101255,,Mater Christi College,,TaxInclusive,POSTAGE,1.0,12.5,GST,0,,,,12.5,254.82,Closed
Invoice,2024-12-02T00:00:00,JTW101256,,Cardinia Shire Council,,TaxInclusive,,4.0,90.0,GST,0,,,,360.0,396.0,Closed
Invoice,2024-12-02T00:00:00,JTW101257,,Cardinia Shire Council,,TaxInclusive,,4.0,80.0,GST,0,,,,320.0,704.0,Closed
Invoice,2024-12-02T00:00:00,JTW101257,,Cardinia Shire Council,,TaxInclusive,,4.0,80.0,GST,0,,,,320.0,704.0,Closed
Invoice,2024-12-02T00:00:00,JTW101258,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1039.58,Closed
Invoice,2024-12-02T00:00:00,JTW101258,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,1039.58,Closed
Invoice,2024-12-02T00:00:00,JTW101258,,Cardinia Shire Council,,TaxInclusive,,1.0,745.07,GST,0,,,,745.07,1039.58,Closed
Invoice,2024-12-02T00:00:00,JTW101259,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,220.0,Closed
